Time,phyb22,phyb28,ELF322,ELF328,PIF422,PIF428,COP122,COP128
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.240,0.894,0.177,3.275,4.556,0.105,0.210,0.195,1.050
0.481,0.970,0.308,2.789,4.473,0.197,0.410,0.323,1.732
0.721,0.977,0.405,2.593,4.437,0.286,0.601,0.405,2.176
0.962,0.977,0.476,2.528,4.425,0.367,0.782,0.459,2.465
1.202,0.977,0.528,2.507,4.421,0.441,0.951,0.494,2.653
1.443,0.977,0.567,2.501,4.420,0.507,1.109,0.517,2.775
1.683,0.977,0.596,2.499,4.420,0.565,1.257,0.532,2.854
1.924,0.977,0.617,2.499,4.420,0.617,1.394,0.541,2.906
2.164,0.977,0.632,2.499,4.419,0.663,1.523,0.547,2.940
2.405,0.977,0.644,2.499,4.419,0.704,1.642,0.551,2.961
2.645,0.977,0.652,2.499,4.419,0.739,1.754,0.554,2.976
2.886,0.977,0.658,2.499,4.419,0.771,1.858,0.556,2.985
3.126,0.977,0.663,2.499,4.419,0.798,1.955,0.557,2.991
3.367,0.977,0.666,2.499,4.419,0.822,2.046,0.558,2.995
3.607,0.977,0.669,2.499,4.419,0.844,2.131,0.558,2.997
3.848,0.977,0.671,2.499,4.419,0.862,2.211,0.558,2.999
4.088,0.977,0.672,2.499,4.419,0.879,2.285,0.559,3.000
4.329,0.977,0.673,2.499,4.419,0.893,2.355,0.559,3.001
4.569,0.977,0.674,2.499,4.419,0.906,2.421,0.559,3.001
4.810,0.977,0.674,2.499,4.419,0.917,2.483,0.559,3.002
5.050,0.977,0.675,2.499,4.419,0.926,2.540,0.559,3.002
5.291,0.977,0.675,2.499,4.419,0.935,2.595,0.559,3.002
5.531,0.977,0.675,2.499,4.419,0.942,2.646,0.559,3.002
5.772,0.977,0.675,2.499,4.419,0.949,2.694,0.559,3.002
6.012,0.977,0.675,2.499,4.420,0.954,2.738,0.559,3.002
6.253,0.977,0.675,2.499,4.420,0.959,2.781,0.559,3.002
6.493,0.977,0.676,2.500,4.420,0.964,2.820,0.559,3.002
6.733,0.977,0.676,2.503,4.420,0.968,2.858,0.559,3.002
6.974,0.977,0.676,2.513,4.422,0.971,2.893,0.559,3.002
7.214,0.977,0.676,2.547,4.428,0.973,2.925,0.559,3.002
7.455,0.977,0.676,2.652,4.448,0.974,2.956,0.559,3.002
7.695,0.977,0.676,2.953,4.503,0.970,2.985,0.559,3.002
7.936,0.977,0.676,3.606,4.622,0.959,3.011,0.559,3.002
8.176,0.938,0.628,4.453,4.777,0.973,3.056,17.404,19.186
8.417,0.887,0.569,5.045,4.885,0.996,3.125,33.282,34.441
8.657,0.839,0.516,5.302,4.932,1.018,3.204,43.609,44.363
8.898,0.794,0.467,5.390,4.949,1.041,3.293,50.325,50.816
9.138,0.751,0.423,5.418,4.954,1.065,3.390,54.694,55.013
9.379,0.710,0.383,5.427,4.955,1.091,3.494,57.535,57.742
9.619,0.671,0.347,5.429,4.956,1.119,3.606,59.383,59.518
9.860,0.635,0.315,5.430,4.956,1.148,3.723,60.585,60.673
10.100,0.600,0.285,5.430,4.956,1.179,3.847,61.367,61.424
10.341,0.568,0.258,5.430,4.956,1.212,3.976,61.875,61.912
10.581,0.537,0.234,5.430,4.956,1.246,4.110,62.206,62.230
10.822,0.508,0.212,5.430,4.956,1.281,4.249,62.421,62.436
11.062,0.480,0.192,5.430,4.956,1.318,4.392,62.561,62.571
11.303,0.454,0.174,5.430,4.956,1.356,4.539,62.652,62.658
11.543,0.430,0.158,5.430,4.956,1.395,4.690,62.711,62.715
11.784,0.406,0.143,5.430,4.956,1.435,4.844,62.749,62.752
12.024,0.384,0.129,5.430,4.956,1.477,5.002,62.774,62.776
12.265,0.363,0.117,5.430,4.956,1.520,5.163,62.791,62.792
12.505,0.344,0.106,5.430,4.956,1.564,5.327,62.801,62.802
12.745,0.325,0.096,5.430,4.956,1.609,5.494,62.808,62.809
12.986,0.307,0.087,5.430,4.956,1.655,5.664,62.813,62.813
13.226,0.291,0.079,5.430,4.956,1.702,5.836,62.815,62.816
13.467,0.275,0.071,5.430,4.956,1.750,6.010,62.817,62.817
13.707,0.260,0.065,5.430,4.956,1.799,6.186,62.819,62.819
13.948,0.246,0.059,5.430,4.956,1.849,6.365,62.819,62.819
14.188,0.233,0.053,5.430,4.956,1.900,6.545,62.820,62.820
14.429,0.220,0.048,5.430,4.956,1.952,6.727,62.820,62.820
14.669,0.208,0.044,5.430,4.956,2.004,6.911,62.820,62.820
14.910,0.197,0.039,5.430,4.956,2.058,7.096,62.821,62.821
15.150,0.186,0.036,5.430,4.956,2.113,7.283,62.821,62.821
15.391,0.176,0.032,5.430,4.956,2.168,7.471,62.821,62.821
15.631,0.166,0.029,5.430,4.956,2.224,7.660,62.821,62.821
15.872,0.157,0.027,5.430,4.956,2.281,7.851,62.821,62.821
16.112,0.149,0.024,5.430,4.956,2.339,8.042,62.821,62.821
16.353,0.141,0.022,5.430,4.956,2.398,8.235,62.821,62.821
16.593,0.133,0.020,5.430,4.956,2.457,8.428,62.821,62.821
16.834,0.126,0.018,5.430,4.956,2.517,8.622,62.821,62.821
17.074,0.119,0.016,5.430,4.956,2.578,8.817,62.821,62.821
17.315,0.113,0.015,5.430,4.956,2.640,9.013,62.821,62.821
17.555,0.106,0.013,5.430,4.956,2.702,9.209,62.821,62.821
17.796,0.101,0.012,5.430,4.956,2.765,9.406,62.821,62.821
18.036,0.095,0.011,5.430,4.956,2.829,9.604,62.821,62.821
18.277,0.090,0.010,5.430,4.956,2.893,9.802,62.821,62.821
18.517,0.085,0.009,5.430,4.956,2.958,10.001,62.821,62.821
18.758,0.081,0.008,5.430,4.956,3.023,10.199,62.821,62.821
18.998,0.076,0.007,5.430,4.956,3.089,10.399,62.821,62.821
19.238,0.072,0.007,5.430,4.956,3.156,10.599,62.821,62.821
19.479,0.068,0.006,5.430,4.956,3.223,10.799,62.821,62.821
19.719,0.064,0.005,5.430,4.956,3.291,10.999,62.821,62.821
19.960,0.061,0.005,5.430,4.956,3.359,11.199,62.821,62.821
20.200,0.058,0.004,5.430,4.956,3.428,11.400,62.821,62.821
20.441,0.055,0.004,5.430,4.956,3.497,11.601,62.821,62.821
20.681,0.052,0.004,5.430,4.956,3.566,11.802,62.821,62.821
20.922,0.049,0.003,5.430,4.956,3.637,12.004,62.821,62.821
21.162,0.046,0.003,5.430,4.956,3.707,12.205,62.821,62.821
21.403,0.044,0.003,5.430,4.956,3.778,12.407,62.821,62.821
21.643,0.041,0.002,5.430,4.956,3.850,12.608,62.821,62.821
21.884,0.039,0.002,5.430,4.956,3.922,12.810,62.821,62.821
22.124,0.037,0.002,5.430,4.956,3.994,13.012,62.821,62.821
22.365,0.035,0.002,5.430,4.956,4.067,13.214,62.821,62.821
22.605,0.033,0.002,5.428,4.955,4.140,13.416,62.821,62.821
22.846,0.031,0.002,5.423,4.954,4.213,13.618,62.821,62.821
23.086,0.030,0.001,5.405,4.951,4.287,13.820,62.821,62.821
23.327,0.028,0.001,5.347,4.941,4.361,14.022,62.821,62.821
23.567,0.026,0.001,5.172,4.908,4.437,14.224,62.821,62.821
23.808,0.025,0.001,4.718,4.826,4.517,14.426,62.821,62.821
24.048,0.394,0.041,3.923,4.680,4.591,14.625,57.688,57.890
24.289,0.928,0.208,3.152,4.539,4.440,14.685,37.716,38.701
24.529,0.973,0.331,2.732,4.462,4.244,14.582,24.726,26.220
24.770,0.977,0.421,2.573,4.433,4.060,14.361,16.277,18.103
25.010,0.977,0.488,2.522,4.424,3.888,14.054,10.782,12.824
25.251,0.977,0.537,2.506,4.421,3.724,13.688,7.208,9.390
25.491,0.977,0.574,2.501,4.420,3.566,13.280,4.883,7.157
25.731,0.977,0.600,2.499,4.420,3.411,12.846,3.372,5.704
25.972,0.977,0.620,2.499,4.420,3.257,12.396,2.388,4.760
26.212,0.977,0.635,2.499,4.419,3.101,11.941,1.749,4.145
26.453,0.977,0.646,2.499,4.419,2.943,11.488,1.333,3.746
26.693,0.977,0.653,2.499,4.419,2.783,11.045,1.062,3.486
26.934,0.977,0.659,2.499,4.419,2.622,10.615,0.886,3.317
27.174,0.977,0.664,2.499,4.419,2.464,10.201,0.772,3.207
27.415,0.977,0.667,2.499,4.419,2.312,9.807,0.698,3.135
27.655,0.977,0.669,2.499,4.419,2.169,9.432,0.649,3.089
27.896,0.977,0.671,2.499,4.419,2.036,9.076,0.618,3.058
28.136,0.977,0.672,2.499,4.419,1.915,8.740,0.597,3.039
28.377,0.977,0.673,2.499,4.419,1.807,8.423,0.584,3.026
28.617,0.977,0.674,2.499,4.419,1.709,8.125,0.575,3.018
28.858,0.977,0.674,2.499,4.419,1.623,7.843,0.570,3.012
29.098,0.977,0.675,2.499,4.419,1.547,7.578,0.566,3.009
29.339,0.977,0.675,2.499,4.419,1.479,7.329,0.563,3.006
29.579,0.977,0.675,2.499,4.419,1.420,7.095,0.562,3.005
29.820,0.977,0.675,2.499,4.419,1.367,6.875,0.561,3.004
30.060,0.977,0.675,2.499,4.420,1.322,6.668,0.560,3.003
30.301,0.977,0.675,2.499,4.420,1.281,6.473,0.560,3.003
30.541,0.977,0.676,2.500,4.420,1.246,6.290,0.560,3.003
30.782,0.977,0.676,2.504,4.421,1.215,6.118,0.559,3.002
31.022,0.977,0.676,2.517,4.423,1.187,5.956,0.559,3.002
31.263,0.977,0.676,2.559,4.431,1.163,5.805,0.559,3.002
31.503,0.977,0.676,2.691,4.455,1.140,5.662,0.559,3.002
31.743,0.977,0.676,3.053,4.521,1.114,5.527,0.559,3.002
31.984,0.977,0.676,3.774,4.653,1.083,5.400,0.559,3.002
32.224,0.928,0.616,4.602,4.804,1.095,5.331,21.148,22.783
32.465,0.877,0.558,5.118,4.899,1.111,5.301,35.717,36.780
32.705,0.830,0.506,5.328,4.937,1.126,5.296,45.193,45.884
32.946,0.785,0.458,5.399,4.950,1.142,5.311,51.355,51.805
33.186,0.742,0.415,5.421,4.954,1.161,5.344,55.364,55.656
33.427,0.702,0.376,5.427,4.955,1.183,5.392,57.971,58.161
33.667,0.664,0.340,5.429,4.956,1.206,5.454,59.666,59.790
33.908,0.628,0.308,5.430,4.956,1.232,5.528,60.769,60.850
34.148,0.594,0.279,5.430,4.956,1.260,5.613,61.486,61.539
34.389,0.562,0.253,5.430,4.956,1.290,5.707,61.953,61.987
34.629,0.531,0.229,5.430,4.956,1.321,5.811,62.256,62.279
34.870,0.502,0.208,5.430,4.956,1.354,5.922,62.454,62.468
35.110,0.475,0.188,5.430,4.956,1.388,6.041,62.582,62.591
35.351,0.449,0.170,5.430,4.956,1.425,6.166,62.666,62.672
35.591,0.425,0.154,5.430,4.956,1.462,6.297,62.720,62.724
35.832,0.402,0.140,5.430,4.956,1.501,6.434,62.755,62.758
36.072,0.380,0.127,5.430,4.956,1.541,6.577,62.778,62.780
36.313,0.359,0.115,5.430,4.956,1.582,6.724,62.793,62.794
36.553,0.340,0.104,5.430,4.956,1.625,6.875,62.803,62.804
36.794,0.321,0.094,5.430,4.956,1.669,7.030,62.809,62.810
37.034,0.304,0.085,5.430,4.956,1.714,7.189,62.813,62.814
37.275,0.287,0.077,5.430,4.956,1.760,7.352,62.816,62.816
37.515,0.272,0.070,5.430,4.956,1.807,7.518,62.818,62.818
37.756,0.257,0.063,5.430,4.956,1.856,7.686,62.819,62.819
37.996,0.243,0.057,5.430,4.956,1.905,7.858,62.820,62.820
38.236,0.230,0.052,5.430,4.956,1.955,8.031,62.820,62.820
38.477,0.217,0.047,5.430,4.956,2.007,8.208,62.820,62.820
38.717,0.206,0.043,5.430,4.956,2.059,8.386,62.821,62.821
38.958,0.195,0.039,5.430,4.956,2.112,8.567,62.821,62.821
39.198,0.184,0.035,5.430,4.956,2.166,8.749,62.821,62.821
39.439,0.174,0.032,5.430,4.956,2.221,8.933,62.821,62.821
39.679,0.165,0.029,5.430,4.956,2.277,9.118,62.821,62.821
39.920,0.156,0.026,5.430,4.956,2.334,9.305,62.821,62.821
40.160,0.147,0.024,5.430,4.956,2.391,9.493,62.821,62.821
40.401,0.139,0.021,5.430,4.956,2.449,9.683,62.821,62.821
40.641,0.132,0.019,5.430,4.956,2.509,9.873,62.821,62.821
40.882,0.124,0.018,5.430,4.956,2.568,10.065,62.821,62.821
41.122,0.118,0.016,5.430,4.956,2.629,10.258,62.821,62.821
41.363,0.111,0.014,5.430,4.956,2.690,10.451,62.821,62.821
41.603,0.105,0.013,5.430,4.956,2.753,10.646,62.821,62.821
41.844,0.100,0.012,5.430,4.956,2.815,10.841,62.821,62.821
42.084,0.094,0.011,5.430,4.956,2.879,11.036,62.821,62.821
42.325,0.089,0.010,5.430,4.956,2.943,11.233,62.821,62.821
